"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Pivotable date"
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-02,5967,monthly,498951,2019-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2019-02,8379,monthly,150818,2019-02-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2019-02,6203,monthly,149924,2019-02-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2019-03,6127,monthly,183521,2019-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2019-03,65206,monthly,229408,2019-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-03,6875,monthly,496910,2019-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2019-03,9346,monthly,149518,2019-03-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2019-03,6802,monthly,151324,2019-03-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2019-04,5814,monthly,184470,2019-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2019-04,60107,monthly,230994,2019-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-04,6063,monthly,502664,2019-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2019-04,8505,monthly,150992,2019-04-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2019-04,6420,monthly,152328,2019-04-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2019-05,6440,monthly,184812,2019-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2019-05,66812,monthly,231245,2019-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-05,6815,monthly,496339,2019-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2019-05,9787,monthly,152604,2019-05-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2019-05,7060,monthly,152676,2019-05-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2019-06,6759,monthly,184910,2019-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2019-06,69001,monthly,232112,2019-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-06,6991,monthly,503716,2019-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2019-06,9618,monthly,152440,2019-06-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2019-06,7222,monthly,154041,2019-06-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2019-07,6776,monthly,186307,2019-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2019-07,73613,monthly,234587,2019-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-07,8275,monthly,512265,2019-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2019-07,9847,monthly,154588,2019-07-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2019-07,7529,monthly,155294,2019-07-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2019-08,7403,monthly,188104,2019-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2019-08,78838,monthly,235298,2019-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-08,8797,monthly,506081,2019-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2019-08,10769,monthly,156053,2019-08-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2019-08,7936,monthly,155819,2019-08-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2019-09,6683,monthly,187643,2019-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2019-09,69020,monthly,235691,2019-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-09,7586,monthly,510810,2019-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2019-09,9532,monthly,155419,2019-09-01
